Name,SeasonStartPrice,YesterdaysPrice,CurrentPrice,CurrentSentiment,AveragePointsPerMillion,CurrentPointsPerMillion,PriceChangeFromStart,,ChangeName,ChangeOrder,,ChangeName2,ChangeOrder2,,,PriceChange,,,To U,To K,,LastRacePrice,Diff,To N,,Average Points,CurrentPoints
Hamilton,31.0,30.2,30.2,-88,0.64,0.63,-0.8,,Leclerc,+0.1,,Leclerc,+0.1,+0.63,1,0.0,,0.003,0.0030,0.1028,,30.2,0.0,0.0030,,19.40,19
Russell,24.0,24.2,24.2,-14,1.29,1.49,+0.2,,Albon,+0.1,,Albon,+0.1,+1.49,2,0.0,,0.0029,0.0029,0.1016,,24.2,0.0,0.0029,,31.20,36
Leclerc,18.0,18.9,19.0,1,2.31,2.63,+1.0,,Hamilton,0.0,,Red Bull,+0.1,+2.63,3,0.1,,0.0028,0.1028,0.003,,18.9,0.1,0.1028,,43.80,50
Sainz,17.0,17.2,17.2,-1,1.07,1.80,+0.2,,Russell,0.0,,Hamilton,+0.0,+1.80,4,0.0,,0.0027,0.0027,0.0029,,17.2,0.0,0.0027,,18.40,31
Verstappen,30.5,30.3,30.3,-12,1.14,1.85,-0.2,,Sainz,0.0,,Russell,+0.0,+1.85,5,0.0,,0.0026,0.0026,0.0027,,30.3,0.0,0.0026,,34.40,56
Perez,17.5,18.2,18.2,48,1.46,1.54,+0.7,,Verstappen,0.0,,Sainz,+0.0,+1.54,6,0.0,,0.0025,0.0025,0.0026,,18.2,0.0,0.0025,,26.60,28
Ricciardo,14.5,14.0,14.0,-48,0.51,0.57,-0.5,,Perez,0.0,,Verstappen,+0.0,+0.57,7,0.0,,0.0024,0.0024,0.0025,,14.0,0.0,0.0024,,7.20,8
Norris,16.0,16.1,16.1,-27,1.09,-0.12,+0.1,,Ricciardo,0.0,,Perez,+0.0,-0.12,8,0.0,,0.0023,0.0023,0.0024,,16.1,0.0,0.0023,,17.60,-2
Vettel,11.5,11.4,11.4,-73,0.54,-0.44,-0.1,,Norris,0.0,,Ricciardo,+0.0,-0.44,9,0.0,,0.0022,0.0022,0.0023,,11.4,0.0,0.0022,,6.20,-5
Stroll,9.5,8.9,8.9,-43,1.46,1.24,-0.6,,Vettel,0.0,,Norris,+0.0,+1.24,10,0.0,,0.0021,0.0021,0.0022,,8.9,0.0,0.0021,,13.00,11
