DriverX,Race1drv,Race2drv,Race3drv,Race4drv,Race5drv,Race6drv,Race7drv,Race8drv,Race9drv,Race10drv,Race11drv,Race12drv,Race13drv,Race14drv,Race15drv,Race16drv,Race17drv,Race18drv,Race19drv,Race20drv,Race21drv,Race22drv,Race23drv,Race24drv,Race25drv,Total,,,DNFs,Race1drvdnf,Race2drvdnf,Race3drvdnf,Race4drvdnf,Race5drvdnf,Race6drvdnf,Race7drvdnf,Race8drvdnf,Race9drvdnf,Race10drvdnf,Race11drvdnf,Race12drvdnf,Race13drvdnf,Race14drvdnf,Race15drvdnf,Race16drvdnf,Race17drvdnf,Race18drvdnf,Race19drvdnf,Race20drvdnf,Race21drvdnf,Race22drvdnf,Race23drvdnf,Race24drvdnf,Race25drvdnf,,,Streaks,Race1drvstreak,Race2drvstreak,Race3drvstreak,Race4drvstreak,Race5drvstreak,Race6drvstreak,Race7drvstreak,Race8drvstreak,Race9drvstreak,Race10drvstreak,Race11drvstreak,Race12drvstreak,Race13drvstreak,Race14drvstreak,Race15drvstreak,Race16drvstreak,Race17drvstreak,Race18drvstreak,Race19drvstreak,Race20drvstreak,Race21drvstreak,Race22drvstreak,Race23drvstreak,Race24drvstreak,Race25drvstreak
L.Hamilton,34,13,26,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
G.Russell,28,26,33,33,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
C.Leclerc,49,41,49,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
C.Sainz,32,27,-5,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
M.Verstappen,5,45,4,62,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
S.Perez,4,22,35,44,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
D.Ricciardo,13,-8,18,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,,,,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
L.Norris,1,22,24,43,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
S.Vettel,4,15,-7,24,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
L.Stroll,15,9,15,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
